0.000000000000000000e+00,2.000000000000000000e+00,5.000000000000000000e+00
2.845620541499681300e-02,2.089961450111673003e+00,5.011984817382713508e+00
5.731951862881681792e-02,2.180448350905424437e+00,5.023940502235553218e+00
8.661258967688843791e-02,2.271478543392454696e+00,5.035867337714385883e+00
1.163596933868467354e-01,2.363069003588503580e+00,5.047765514170350798e+00
1.465867282456001230e-01,2.455235828744366078e+00,5.059635133766201776e+00
1.773212154715812505e-01,2.547994222812075993e+00,5.071476215279106192e+00
2.085922985586546874e-01,2.641358481455016616e+00,5.083288699116090825e+00
2.404307435412385563e-01,2.735341976956557897e+00,5.095072452580811984e+00
2.728689402188638202e-01,2.829957143440950951e+00,5.106827275444392633e+00
3.059409045750778877e-01,2.925215462894074747e+00,5.118552905888968496e+00
3.396822826336381995e-01,3.021127452562001992e+00,5.130249026910396637e+00
3.741303560188511401e-01,3.117702654413381236e+00,5.141915273286386423e+00
4.093240495326832540e-01,3.214949627477658556e+00,5.153551239238037596e+00
4.453039411367037403e-01,3.312875944014042506e+00,5.165156486936144375e+00
4.821122748419751636e-01,3.411488190622526950e+00,5.176730556028134700e+00
5.197929771771409024e-01,3.510791975571746715e+00,5.188272974386217484e+00
5.583916781393990503e-01,3.610791943777986290e+00,5.199783270300797788e+00
5.979557378529546385e-01,3.711491801008178104e+00,5.211260986363371650e+00
6.385342805859210991e-01,3.812894348971930469e+00,5.222705695296912864e+00
6.801782383329068038e-01,3.915001532977452570e+00,5.234117017995123966e+00
7.229404068815032947e-01,4.017814503703990070e+00,5.245494644019370156e+00
7.668755181709908664e-01,4.121333694322243169e+00,5.256838354766453669e+00
8.120403338418321626e-01,4.225558913586650256e+00,5.268148049452620718e+00
8.584937661781412155e-01,4.330489454517338466e+00,5.279423773947915954e+00
9.062970341611662484e-01,4.436124216744894433e+00,5.290665752326588311e+00
9.555138640554761142e-01,4.542461838337226609e+00,5.301874420757329176e+00
1.006210745781102256e+00,4.649500829762271970e+00,5.313050463022951142e+00
1.058457258173183702e+00,4.757239698330868904e+00,5.324194846511677071e+00
1.112326477913086364e+00,4.865677045754237540e+00,5.335308856938884681e+00
1.167895488152631334e+00,4.974811614071756871e+00,5.346394129315904742e+00
1.225246003241001524e+00,5.084642245896877633e+00,5.357452671759254770e+00
1.284465124936604363e+00,5.195167713472651272e+00,5.368486877611181818e+00
1.345646242279402216e+00,5.306386357292284472e+00,5.379499520008817370e+00
1.408890080910130127e+00,5.418295459049444318e+00,5.390493721493984758e+00
1.474305896772424518e+00,5.530890255713398318e+00,5.401472889514461251e+00
1.542012792238572905e+00,5.644162482229409861e+00,5.412440606769351348e+00
1.612141107863313882e+00,5.758098310927680430e+00,5.423400463367097579e+00
1.684833808015984147e+00,5.872675538158375730e+00,5.434355815808024737e+00
1.760247731212983835e+00,5.987859855986729762e+00,5.445309456043823104e+00
